"Agency/Department","Contract Number","Contract Value","Supplier","Procurement Type","Description","Type of Solicitation","Effective From","Effective To"
"Public Utilities","17000006735","$15,000,000.00","GREELEY AND HANSEN LLC","Request for Proposal","Water,Wastewater, and Stormwater Utility Engineering Services, Term 5 of 5/H160005482 -Wastewater Only","Professional Services","2016 Oct 25 12:00:00 AM","2021 Oct 24 12:00:00 AM"
"Public Utilities","17000006746","$5,000,000.00","RUMMEL KLEPPER AND KAHL LLP","Request for Proposal","RFP / Professional Services / Department of Public Utilities / Water, Wastewater and Storm Water Utility Engineering Services / Initial Term of One (1) year with Four (4) - One (1) year renewals.","Professional Services","2016 Oct 25 12:00:00 AM","2021 Oct 24 12:00:00 AM"
"Public Utilities","17000006760","$5,000,000.00","A Morton Thomas and Associates Inc","Request for Proposal","Water,Wastewater, and Stormwater Utility Engineering Services, Term 2 of 5/H160005482 -Stormwater Only","Professional Services","2016 Oct 25 12:00:00 AM","2021 Oct 24 12:00:00 AM"
"Public Utilities","22000000096","$2,000,000.00","Tidewater Utility Construction","Exception Purchase","Emergency Capital Improvement Projects Annual Sewer Repair and Replacement Services/Requisition 210016056/Term: 120 consecutive calendar days.","Construction - Capital/Non-Capital","2021 Jun 30 12:00:00 AM","2021 Oct 27 12:00:00 AM"
"Public Utilities","17000006750","$5,000,000.00","DEWBERRY ENGINEERS INC","Request for Proposal","Water,Wastewater, and Stormwater Utility Engineering Services, Term 1 of 5/H160005482 -Wastewater Only","Professional Services","2016 Oct 31 12:00:00 AM","2021 Oct 30 12:00:00 AM"
"Public Utilities","22000002334","$18,450.90","Ramboll Americas Engineering Solutions, Inc","Agency Request","Contractor name change and to pay outstanding invoices.","Non Professional Services, Non Technology","2021 Sep 01 12:00:00 AM","2021 Oct 31 12:00:00 AM"
"Information Technology","22000002861","$63,548.80","RECOVERY POINT SYSTEMS","Cooperative Agreement","Requisition 220000785 / Cooperative Agreement / GSA Contract GS-35F-0210R / 4 months of Recovery Services (GSA Schedule Items Only) for the period of time from July 1st to Nov 1st","Non Professional Services, Technology","2021 Sep 14 12:00:00 AM","2021 Nov 01 12:00:00 AM"
"Public Utilities","17000006758","$5,000,000.00","Hazen and Sawyer D.P.C.","Request for Proposal","Water,Wastewater, and Stormwater Utility Engineering Services, Term 2 of 5/H160005482 -Stormwater Only","Professional Services","2019 Nov 08 12:00:00 AM","2021 Nov 07 12:00:00 AM"
,"20000005764","$110,028.78","FORTILINE INC",,"Gas & Water Type Valve Boxes. Al Scott. DPU",,"2019 Nov 01 12:00:00 AM","2021 Nov 10 12:00:00 AM"
,"20000005765","$127,224.30","Ferguson US Holdings Inc",,"Gas & Water Type Valve Boxes. Al Scott.",,"2019 Nov 01 12:00:00 AM","2021 Nov 10 12:00:00 AM"
"Public Utilities","17000007924","$5,000,000.00","Woolpert Inc - INACTIVE","Request for Proposal","Water,Wastewater, and Stormwater Utility Engineering Services, Term 3 of 5/H160005482 -Stormwater Only","Professional Services","2019 Nov 15 12:00:00 AM","2021 Nov 14 12:00:00 AM"
"Public Works","17000009244","$5,000,000.00","Peck Peck & Associates Inc","Request for Proposal","Annual Building Architecture Services/Term 4 of 4/AE16-1","Professional Services","2016 Nov 28 12:00:00 AM","2021 Nov 27 12:00:00 AM"
"Public Works","16000020929","$3,485,521.45","Warwick Plumbing And Heating Corporation","Invitation to Bid","IFB #H160007918 / Goods & Services / City Wide Contract / Annual Mechanical Contract - Maintenance, Repair and Installation / First 180 day extension of contract","Construction - Term","2016 Jun 01 12:00:00 AM","2021 Nov 28 12:00:00 AM"
"Public Utilities","17000008695","$5,000,000.00","UNIVAR SOLUTIONS USA INC","Invitation to Bid","Potassium Permanganate Chemical/Term 2of 5/160024021","Commodity","2016 Nov 29 12:00:00 AM","2021 Nov 28 12:00:00 AM"
"Public Utilities","17000008808","$5,000,000.00","UNIVAR SOLUTIONS USA INC","Invitation to Bid","Sodium Hypochlorite/Term 1 of 5/160018794","Commodity","2016 Nov 30 12:00:00 AM","2021 Nov 29 12:00:00 AM"
"Public Works","20000009705","$1,260,480.00","ATLANTIC EMERGENCY SOLUTIONS INC","Cooperative Agreement","4 Door Tractor Dawn Ladder Truck/Terms and Conditions are based on the Agreement#20000009705 between The City of Richmond and Atlantic Emergency Solutions, Inc.","Equipment - Non Technology","2020 Jan 23 12:00:00 AM","2021 Nov 30 12:00:00 AM"
"Fire and Emergency Services","22000003444","$1,292,612.00","ATLANTIC EMERGENCY SOLUTIONS INC","Cooperative Agreement","Cooperative / Commodity / Fire & Emergency Services / HGAC Contract FS12-19 for (2) 2022 Pierce Enforcer Triple Combination Pumpers / No additional terms.","Supplies, Non Technology","2021 Sep 30 12:00:00 AM","2021 Nov 30 12:00:00 AM"
"Public Works","21000007842","$139,843.00","National Security & Door Corp","Invitation to Bid","Oliver Hills Active Shooter System/Requisition 210006709/90 consecutive calendar days","Construction - Capital/Non-Capital","2021 Jan 18 12:00:00 AM","2021 Dec 01 12:00:00 AM"
"Fire and Emergency Services","21000006215","$141,693.00","DECCAN INTERNATIONAL","Agency Request","ADAM 2.0 SOFTWARE, 1 YEAR MAINTENANCE AND SUPPORT PLUS HARDWARE","Non Professional Services, Technology","2020 Dec 04 12:00:00 AM","2021 Dec 03 12:00:00 AM"
"Public Utilities","17000006759","$15,000,000.00","TIMMONS GROUP","Request for Proposal","RFP/Services/DPU/Water,Wastewater, and Stormwater Utility Engineering Services, Term 2 of 5/H160005482 -Stormwater Only","Professional Services","2016 Dec 05 12:00:00 AM","2021 Dec 04 12:00:00 AM"
"Public Utilities","16000022833","$1,000,000.00","LIBERTY SALES & DISTRIBUTION","Invitation to Bid","Corrosion Tape, Paste, and Live Natural Gas Repair Kits/Term 4 of 5/160017160","Supplies, Non Technology","2016 Jun 09 12:00:00 AM","2021 Dec 06 12:00:00 AM"
"Public Works","17000009252","$5,000,000.00","Simmons, Rockecharlie and Prince Inc","Request for Proposal","Annual Electrical and Mechanical Engineering Services/Term 2 of 5/AE16-2","Non Professional Services, Non Technology","2016 Dec 07 12:00:00 AM","2021 Dec 06 12:00:00 AM"
"Police Department","16000003460","$3,399,896.25","AXON ENTERPRISE INC","Agency Request","SS/Service/RPD/Body Worn Camera/Initial Terms 5 years, with one (1) year renewal option/#160002601; MOD#4 $47,952.00 contract amt increase/addl. equip.; annual renewal amt $489,436.00 - Renewal 12/16/2020 - 12/15/2021","Equipment - Non Technology","2015 Dec 16 12:00:00 AM","2021 Dec 15 12:00:00 AM"
"Public Utilities","15000005188","$3,700,000.00","HEATH CONSULTANTS INC","Request for Proposal","RFP / Services / Department of Public Utilities / Natural Gas Leakage Survey / Initial Term One (1) year with Five (5) - One (1) year renewals and extension.","Professional Services","2014 Sep 19 12:00:00 AM","2021 Dec 15 12:00:00 AM"
"Animal Care and Control","22000003821","$70,000.00","VETERINARY EMERGENCY CTR INC","Small Purchase","Small / Professional Services / Animal Care & Control / Emergency Vet Services until December 15th, 2021 / No additional terms","Non Professional Services, Non Technology","2021 Oct 21 12:00:00 AM","2021 Dec 15 12:00:00 AM"
"Public Utilities","17000006747","$5,000,000.00","RUMMEL KLEPPER AND KAHL LLP","Request for Proposal","RFP / Professional Services / Department of Public Utilities / Water,Wastewater, and Stormwater Utility Engineering Services / Initial Term of One (1) year with Four (4) - One (1) year extensions.","Professional Services","2016 Oct 25 12:00:00 AM","2021 Dec 24 12:00:00 AM"
"City Wide","17000002075","$10,000,000.00","COMPUTER AID INC","Cooperative Agreement","Cooperative Contact V1300620 / Technology / City Wide Contact / Services for Computer Information Systems / Contract Agreement Modification Extension December 30, 2021.","Non Professional Services, Technology","2016 Jul 22 12:00:00 AM","2021 Dec 30 12:00:00 AM"
"Public Works","11164-1","$53,716,257.32","SP PLUS CORPORATION","Request for Proposal","Emergency Procurement Memo","Non Professional Services, Non Technology","2012 Jan 01 12:00:00 AM","2021 Dec 31 12:00:00 AM"
"Planning & Development Review","14000002788","$202,387.93","ENERGYCAP INC","Request for Proposal","SUST/Energy Accounting Information System/Term 5 of 5/11092-1SF","Supplies, Technology","2011 Jan 26 12:00:00 AM","2021 Dec 31 12:00:00 AM"
"Economic Development","17000005905","$2,509,486.66","SmithGroupJJR Inc - INACTIVE","Request for Proposal","Contract terminated per attached letter dated June 5, 2023. Lumpkin's Jail Site - Architecture, Engineering, Museum Development and Archaeological Consulting Services/Term 1 of 1/160015533","Professional Services","2016 Oct 10 12:00:00 AM","2021 Dec 31 12:00:00 AM"
"Police Department","20000013824","$20,000.00","Shamin Mechanicsville Hospitality - INACTIVE","Agency Request","Requisition #210007989; Amendment No. 1 to extend date; Temporary Lodging","Non Professional Services, Non Technology","2020 Apr 14 12:00:00 AM","2021 Dec 31 12:00:00 AM"
"Public Utilities","22000000604","$21,377.16","APPLIED INDUSTRIAL TECHNOLOGIES","Cooperative Agreement","Requisition 210014990/Cooperative Procurement (US Communities Contract 16154-RFP (U227623) Applied Industrial Technologies Quote# 509400644 Tank Parts","Supplies, Non Technology","2021 Aug 11 12:00:00 AM","2021 Dec 31 12:00:00 AM"
"Public Utilities","22000005089","$202,387.93","Happy Valley Intermediate Holdco","Request for Proposal","SUST/Energy Accounting Information System/Extension/11092-ISF","Non Professional Services, Technology",,"2021 Dec 31 12:00:00 AM"
"Public Utilities","14000019306","$16,996,099.26","ENGLISH CONSTRUCTION CO INC","Invitation to Bid","IFB/Construction/DPU/WTP Sedimentation Basin Improvements/Term 1 of 1","Construction - Capital/Non-Capital","2014 May 29 12:00:00 AM","2022 Jan 01 12:00:00 AM"
"Public Works","21000007160","$2,362,187.00","SIMONS CONTRACTING CO","Invitation to Bid","IFB #200013760 / Requisition #200013760 / No Additional Terms, Construction Contract","Construction - Capital/Non-Capital","2021 Jan 13 12:00:00 AM","2022 Jan 12 12:00:00 AM"
"Public Works","21000007835","$360,655.23","Pavion","Invitation to Bid","Manchester Courthouse-Security Upgrades Project/Requisition 210001062/210 consecutive calendar days","Construction - Capital/Non-Capital","2021 Jan 18 12:00:00 AM","2022 Jan 18 12:00:00 AM"
"Public Utilities","17000012031","$1,530,000.00","CONSOLIDATED PIPE & SUPPLY","Invitation to Bid","Steel Gas Gate Valves/Term 2 of 5/H170007071","Supplies, Non Technology","2017 Jan 20 12:00:00 AM","2022 Jan 19 12:00:00 AM"
"Public Utilities","17000006757","$5,000,000.00","JOHNSON MIRMIRAN AND THOMPSON","Request for Proposal","Water,Wastewater, and Stormwater Utility Engineering Services, Term 3 of 5/H160005482 -Wastewater Only","Professional Services","2017 Jan 20 12:00:00 AM","2022 Jan 19 12:00:00 AM"
"Public Works","20000005827","$559,776.00","SIMONS CONTRACTING CO","Invitation to Bid","Bank St. Pedestrian and Bike Improvements Project (UPC #109295) /Requisition 190020351/264 consecutive calendar days","Construction - Capital/Non-Capital","2019 Oct 24 12:00:00 AM","2022 Jan 24 12:00:00 AM"
"Public Utilities","18000022771","$1,314,975.00","IPR Northeast, LLC - INACTIVE","Invitation to Bid","IFB / Construction / Department of Public Works / 60 - Inch Marshall Street Sewer Rehabilitation )Project #105101) Requisition 170026261 / Duration of project 50 days.","Construction - Capital/Non-Capital","2018 Aug 23 12:00:00 AM","2022 Jan 25 12:00:00 AM"
"Police Department","22000000139","$200,000.00","Galls LLC","Cooperative Agreement","Requisition 210013432/UNIFORMS CONTRACT/Renewal 3 of 3","Supplies, Non Technology","2021 Jul 12 12:00:00 AM","2022 Jan 31 12:00:00 AM"
"Planning & Development Review","17000009537","$132,000.00","Bruber Financial Services Inc","Agency Request","SS/Service/PDR/Credit Card Processing Services","Non Professional Services, Technology","2017 Feb 01 12:00:00 AM","2022 Jan 31 12:00:00 AM"
"City Wide","22000001033","$70,000.00","Guernsey Inc","Cooperative Agreement","Cooperative Agreement using Commonwealth of Virginia Contract E194-72924-MA2080/Extension expires Oct 31, 2021","Supplies, Non Technology","2021 Jul 23 12:00:00 AM","2022 Jan 31 12:00:00 AM"
"Public Utilities","21000011355","$0.00","Enerwise - INACTIVE","Cooperative Agreement","Requisition 210012007/Emergency Capacity Demand Response","Non Professional Services, Non Technology","2021 Apr 20 12:00:00 AM","2022 Feb 01 12:00:00 AM"
"Public Utilities","20000010575","$66,200.00","SEAL ANALYTICAL INC","Agency Request","SS/DPU/Seal products/1st year of 2 year term/Req. 200011341","Non Professional Services, Non Technology","2020 Feb 10 12:00:00 AM","2022 Feb 10 12:00:00 AM"
"Public Utilities","16000014956","$285,000.00","Stone Brewing Co. LLC","Invitation to Bid","IFB / Goods & Services / Department of Public Works / Alternate Carbon Source / Second 180 day extension","Commodity","2016 Feb 19 12:00:00 AM","2022 Feb 14 12:00:00 AM"
"Fire and Emergency Services","17000014302","$216,000.00","OPEN Incorporated - INACTIVE","Agency Request","Electronic Patient Care Reporting Software/1 year term/Requisition #150016022","Non Professional Services, Technology","2017 Feb 15 12:00:00 AM","2022 Feb 14 12:00:00 AM"
"Public Utilities","18000016381","$17,500,000.00","Insituform Technologies LLC","Invitation to Bid","Annual Sewer Rehabilitation Services - Cured-In-Place-Pipe (CIPP) Project/Term 2 of 4/170026679","Construction - Term","2020 Feb 15 12:00:00 AM","2022 Feb 14 12:00:00 AM"
,"20000010095","$2,525,609.25","MAYER ELECTRIC SUPPLY CO INC",,"IFB/DPU/Streetlight Poles, Luminaries, Parts, and Accessories/Base years of term/Req. 200005021",,"2020 Feb 07 12:00:00 AM","2022 Feb 18 12:00:00 AM"
"Information Technology","10243O-1","$3,655,062.23","ORACLE AMERICA INC","Request for Proposal","ENTERPRISE RESOURCE PLANNING (ERP) HOSTING ORACLE ON DEMAND. Extension to 2/23/2021","Non Professional Services, Technology","2020 Feb 24 12:00:00 AM","2022 Feb 23 12:00:00 AM"
"Public Utilities","17000006529","$5,550,000.00","WHITMAN REQUARDT AND ASSOC","Request for Proposal","TO BE CLOSED 2-25-22 - NO FURTHER RENEWALS Water, Wastewater, and Stormwater Utility Engineering Services, Term 5 of 5/H160005482- Water Only","Professional Services","2016 Oct 31 12:00:00 AM","2022 Feb 25 12:00:00 AM"
,"20000010861","$1,270,318.84","Ferguson US Holdings Inc",,"IFB/DPU/Domestic Plumbing Fittings, Pipes, and Accessories/2yr base w/two-2yr renewals/Req. 200008325",,"2020 Feb 24 12:00:00 AM","2022 Feb 28 12:00:00 AM"
"Library, Richmond Public","21000007626","$160,330.00","Steinberg Hart New York - INACTIVE","Request for Proposal","CLOSE ON EXPIRY _ FULLY RELEASED _-Richmond Library Multiphase Professional Services Project/Requisition 200017901/Term: 120 consecutive calendar days.","Professional Services","2021 Feb 16 12:00:00 AM","2022 Mar 01 12:00:00 AM"
"Public Utilities","18000017340","$13,893,000.00","Southwood Building Systems Inc","Invitation to Bid","CSO Control Program- Special Order 14 Division 46 - Wet Weather Disinfection Facility and Other Improvements/ Term 1 of 1/H180004821","Construction - Capital/Non-Capital","2018 Mar 19 12:00:00 AM","2022 Mar 01 12:00:00 AM"
"Public Works","20000013708","$806,523.26","LEE HY PAVING CORP","Invitation to Bid","Fully released - IFB/DPW/Citywide SGR 2"" Mill and Paving Program/45 consecutive calendar days/Req. 200014122.","Construction - Capital/Non-Capital","2020 May 11 12:00:00 AM","2022 Mar 01 12:00:00 AM"
"Public Utilities","15000014256","$5,000,000.00","ITRON INC","Agency Request","Gas and Water automated parts","Commodity","2011 Jan 31 12:00:00 AM","2022 Mar 04 12:00:00 AM"
"Public Utilities","16000017271","$11,357,740.68","NUTRI BLEND INC","Invitation to Bid","IFB / Goods and Services / Department of Public Utilities / Dewatering and Disposal of Biosolids / Last 180 Day Extension","Non Professional Services, Non Technology","2016 Mar 17 12:00:00 AM","2022 Mar 13 12:00:00 AM"
"City Auditor","22000006688","$300,000.00","Accenture LLP","Cooperative Agreement","Close - Fully released 4-28-22 City of Richmond Fiscal and Efficiency Review","Non Professional Services, Non Technology","2022 Jan 10 12:00:00 AM","2022 Mar 18 12:00:00 AM"
"Public Works","16000016420","$6,600,000.00","MARTIN MARIETTA AGGREGATES","Invitation to Bid","Crushed Stone / Requisition #160015019 / Term 2 of 2/IFB #160015019/","Commodity","2016 Mar 20 12:00:00 AM","2022 Mar 21 12:00:00 AM"
"Fire and Emergency Services","21000011492","$157,411.06","CentralSquare Canada Software","Agency Request","Formerly agr. 17000010425 FDM Software. Org. amount 326,289.53 rel. 241,459.54 remaining balance 84829.99 Records Mang. SRVC (FDM)/3 years with 2-1 year renewal options","Non Professional Services, Non Technology","2017 Mar 28 12:00:00 AM","2022 Mar 27 12:00:00 AM"
"Finance","19000020170","$100,000.00","Meyercord Revenue Inc","Cooperative Agreement","Tobacco Tax Revenue Stamps","Supplies, Non Technology","2019 May 16 12:00:00 AM","2022 Apr 09 12:00:00 AM"
